Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public
Karen Allen,YNG Utah,84102,karenallen,karenallen,+1 (555) 138-1936,karen.allen@company.com,yes,yes,yes,yes
Kara Stone,YNG San Diego,92111,karastone,NP,+1 (555) 321-2689,kara.stone@yahoo.com,yes,NP,no,no
Joseph Mccoy,YNG San Francisco,94109,josephmccoy,josephmccoy,+1 (555) 958-6497,joseph.mccoy@aol.com,yes,yes,no,no
Aaron Gonzales,YNG LA Universities,90043,aarongonzales,aarongonzales,NP,aaron.gonzales@outlook.com,yes,yes,NP,no
David Blanchard,YNG Utah,84116,davidblanchard,davidblanchard,NP,david.blanchard@yahoo.com,yes,no,NP,no
Ann Nelson,YNG LA Universities,90024,annnelson,annnelson,+1 (555) 499-3208,ann.nelson@icloud.com,yes,yes,no,yes
Steven Williams,YNG Las Vegas,89109,stevenwilliams,stevenwilliams,NP,steven.williams@mac.com,yes,yes,NP,no
James Thornton,YNG Las Vegas,89103,jamesthornton,jamesthornton,+1 (555) 166-6427,james.thornton@aol.com,yes,no,no,no
Robert Giles,YNG Utah,84103,robertgiles,robertgiles,NP,robert.giles@outlook.com,yes,no,NP,yes
John Mcbride,YNG Los Angeles,90009,johnmcbride,johnmcbride,+1 (555) 229-3997,john.mcbride@company.com,no,yes,no,no
Maria Miller,YNG LA Universities,90024,mariamiller,mariamiller,NP,maria.miller@carter.info,yes,yes,NP,yes
James Hess,YNG San Diego,92105,NP,jameshess,+1 (555) 438-2483,james.hess@yahoo.com,NP,no,no,yes
Mary Castillo,YNG LA Universities,90042,marycastillo,marycastillo,+1 (555) 360-2761,mary.castillo@gmail.com,yes,no,yes,no
Jamie Reilly,YNG Los Angeles,90013,jamiereilly,jamiereilly,+1 (555) 620-7223,jamie.reilly@ucla.edu,yes,yes,no,yes
Regina Morris,YNG Seattle,98112,reginamorris,NP,+1 (555) 006-2699,regina.morris@gmail.com,no,NP,no,yes
Richard Anderson,YNG Las Vegas,89113,richardanderson,NP,+1 (555) 833-1312,richard.anderson@icloud.com,no,NP,yes,yes
Eric Ortiz,YNG Las Vegas,89102,ericortiz,ericortiz,+1 (555) 158-7291,eric.ortiz@mac.com,yes,no,yes,no
David Stewart,YNG San Francisco,94118,NP,davidstewart,+1 (555) 224-9194,david.stewart@stanford.edu,NP,yes,yes,yes
Shelby Perez,YNG Las Vegas,89108,shelbyperez,shelbyperez,+1 (555) 811-5422,shelby.perez@outlook.com,no,yes,yes,yes
Tiffany Simpson,YNG San Francisco,94102,tiffanysimpson,tiffanysimpson,NP,tiffany.simpson@stanford.edu,no,yes,NP,yes
Katherine Burns,YNG San Francisco,94117,katherineburns,katherineburns,+1 (555) 273-8809,katherine.burns@yahoo.com,yes,yes,no,yes
Kayla Davenport,YNG San Diego,92117,NP,kayladavenport,NP,kayla.davenport@icloud.com,NP,no,NP,yes
Brenda Martin,YNG Los Angeles,90002,brendamartin,brendamartin,+1 (555) 097-8008,brenda.martin@mac.com,yes,yes,no,no
Cassidy Myers,YNG LA Universities,90042,cassidymyers,NP,NP,cassidy.myers@aol.com,no,NP,NP,no
Barbara Fernandez,YNG Utah,84108,NP,barbarafernandez,NP,barbara.fernandez@stanford.edu,NP,no,NP,no
Alec Foley,YNG Utah,84101,alecfoley,alecfoley,+1 (555) 363-3471,alec.foley@aol.com,no,no,yes,no
Jessica Fernandez,YNG LA Universities,90040,jessicafernandez,jessicafernandez,+1 (555) 098-9695,jessica.fernandez@outlook.com,yes,no,no,no
Ronald Hutchinson,YNG LA Universities,90038,ronaldhutchinson,ronaldhutchinson,+1 (555) 566-8424,ronald.hutchinson@gmail.com,yes,yes,yes,yes
Erik Fisher,YNG Las Vegas,89108,erikfisher,erikfisher,+1 (555) 153-5962,erik.fisher@mac.com,no,no,no,yes
Hannah Smith,YNG San Francisco,94121,hannahsmith,hannahsmith,+1 (555) 834-9832,hannah.smith@icloud.com,no,yes,no,yes
Ann Mcintosh,YNG Las Vegas,89105,annmcintosh,annmcintosh,+1 (555) 793-6472,ann.mcintosh@icloud.com,yes,no,no,yes
Holly Lamb,YNG San Francisco,94118,hollylamb,hollylamb,+1 (555) 834-1663,holly.lamb@stanford.edu,yes,yes,yes,no
Sarah Powers,YNG San Francisco,94104,sarahpowers,sarahpowers,+1 (555) 991-3749,sarah.powers@gmail.com,no,no,no,no
Ricardo Stevenson,YNG Las Vegas,89105,ricardostevenson,NP,+1 (555) 079-5588,ricardo.stevenson@ucla.edu,yes,NP,no,yes
Debra Trevino,YNG Utah,84108,NP,debratrevino,+1 (555) 442-1529,debra.trevino@yahoo.com,NP,yes,yes,yes
Fernando Fisher,YNG San Diego,92115,fernandofisher,fernandofisher,NP,fernando.fisher@gmail.com,no,no,NP,yes
Karen Decker,YNG San Diego,92108,karendecker,karendecker,+1 (555) 220-8999,karen.decker@gillespie.com,no,no,yes,no
James Freeman,YNG San Diego,92113,jamesfreeman,jamesfreeman,NP,james.freeman@company.com,no,no,NP,no
Jennifer Lewis,YNG Los Angeles,90008,jenniferlewis,jenniferlewis,NP,jennifer.lewis@mac.com,yes,yes,NP,yes
Kathy Garcia,YNG San Diego,92115,kathygarcia,kathygarcia,+1 (555) 540-3293,kathy.garcia@yahoo.com,yes,no,no,no
Timothy Mullen,YNG San Diego,92107,timothymullen,timothymullen,+1 (555) 062-6596,timothy.mullen@outlook.com,no,yes,no,yes
Brandon Davis,YNG San Francisco,94104,NP,brandondavis,+1 (555) 760-1672,brandon.davis@icloud.com,NP,no,yes,yes
Marcus Woods,YNG Seattle,98105,marcuswoods,NP,NP,marcus.woods@stanford.edu,no,NP,NP,yes
Kyle Snyder,YNG LA Universities,90040,NP,kylesnyder,NP,kyle.snyder@gmail.com,NP,yes,NP,yes
Steven West,YNG Seattle,98112,NP,stevenwest,+1 (555) 610-1200,steven.west@outlook.com,NP,no,no,no
Kevin Gay,YNG Los Angeles,90007,kevingay,kevingay,NP,kevin.gay@stanford.edu,yes,yes,NP,no
Christopher Carter,YNG Los Angeles,90008,NP,NP,+1 (555) 261-9348,christopher.carter@icloud.com,NP,NP,yes,yes
Richard Mendoza,YNG San Diego,92115,richardmendoza,richardmendoza,+1 (555) 273-9810,richard.mendoza@yahoo.com,yes,no,no,yes
Jamie Parks,YNG Los Angeles,90001,jamieparks,jamieparks,NP,jamie.parks@stanford.edu,no,no,NP,no
Michael White,YNG Los Angeles,90015,michaelwhite,NP,+1 (555) 195-4980,michael.white@gmail.com,no,NP,no,yes
Jody Wagner,YNG San Francisco,94121,jodywagner,jodywagner,+1 (555) 166-8528,jody.wagner@icloud.com,yes,yes,no,yes
Lindsey Gonzalez,YNG LA Universities,90028,lindseygonzalez,NP,NP,lindsey.gonzalez@stanford.edu,no,NP,NP,yes
Amber Carter,YNG San Diego,92116,NP,ambercarter,+1 (555) 373-4835,amber.carter@gmail.com,NP,yes,no,yes
Laurie Michael,YNG Seattle,98108,lauriemichael,lauriemichael,+1 (555) 493-4194,laurie.michael@gmail.com,no,yes,yes,yes
Tanner Salazar,YNG San Francisco,94107,tannersalazar,tannersalazar,+1 (555) 573-4210,tanner.salazar@company.com,yes,no,no,yes
Glenn Mcclure,YNG LA Universities,90038,NP,NP,+1 (555) 887-9107,glenn.mcclure@stanford.edu,NP,NP,yes,no
Casey Torres,YNG Utah,84101,caseytorres,caseytorres,+1 (555) 045-8484,casey.torres@gmail.com,no,yes,yes,no
Troy Hernandez,YNG LA Universities,90040,troyhernandez,troyhernandez,NP,troy.hernandez@mac.com,yes,no,NP,no
Brian Wood MD,YNG Seattle,98115,brianwoodmd,NP,NP,brian.wood.md@mac.com,yes,NP,NP,yes
Kyle Molina,YNG Seattle,98116,kylemolina,NP,+1 (555) 624-0182,kyle.molina@mac.com,no,NP,no,yes
Summer Contreras,YNG San Diego,92116,summercontreras,NP,+1 (555) 812-1970,summer.contreras@yahoo.com,no,NP,yes,no
Walter Walker,YNG Utah,84109,walterwalker,NP,+1 (555) 488-9040,walter.walker@company.com,no,NP,yes,yes
Sandra Hardin,YNG LA Universities,90028,sandrahardin,sandrahardin,+1 (555) 204-6611,sandra.hardin@stanford.edu,no,yes,no,yes
Jeffrey Simmons,YNG San Francisco,94118,jeffreysimmons,jeffreysimmons,NP,jeffrey.simmons@mac.com,yes,yes,NP,yes
Michelle Rodriguez,YNG LA Universities,90043,michellerodriguez,michellerodriguez,NP,michelle.rodriguez@collins.com,yes,yes,NP,yes
Katrina Contreras,YNG Las Vegas,89101,katrinacontreras,katrinacontreras,NP,katrina.contreras@gmail.com,yes,no,NP,yes
Sylvia Campos,YNG Seattle,98106,sylviacampos,NP,+1 (555) 653-2080,sylvia.campos@icloud.com,no,NP,yes,yes
Anthony Adams,YNG Los Angeles,90014,anthonyadams,NP,NP,anthony.adams@outlook.com,yes,NP,NP,yes
Kristen George,YNG San Francisco,94116,NP,kristengeorge,+1 (555) 059-0385,kristen.george@stanford.edu,NP,no,yes,yes
Sydney Herrera,YNG San Francisco,94102,sydneyherrera,NP,+1 (555) 806-7637,sydney.herrera@company.com,no,NP,yes,yes
Carolyn Newman,YNG LA Universities,90037,carolynnewman,carolynnewman,+1 (555) 166-6721,carolyn.newman@ucla.edu,no,yes,yes,yes
Dr. Robert Pena,YNG Seattle,98105,NP,dr.robertpena,+1 (555) 676-2822,dr..robert.pena@icloud.com,NP,yes,no,no
Nicholas Scott,YNG Las Vegas,89115,nicholasscott,nicholasscott,+1 (555) 543-1143,nicholas.scott@icloud.com,yes,no,no,no
Nicole Simmons,YNG San Diego,92104,NP,nicolesimmons,+1 (555) 055-3643,nicole.simmons@outlook.com,NP,yes,yes,yes
Peter Rogers,YNG Las Vegas,89101,peterrogers,NP,+1 (555) 795-2378,peter.rogers@ucla.edu,yes,NP,no,no
Krista Hamilton,YNG LA Universities,90035,kristahamilton,kristahamilton,+1 (555) 460-4720,krista.hamilton@company.com,no,yes,yes,yes
Melissa Simmons,YNG Utah,84104,melissasimmons,melissasimmons,+1 (555) 167-2197,melissa.simmons@yahoo.com,yes,no,yes,yes
Jeffrey Perez,YNG Utah,84116,jeffreyperez,jeffreyperez,+1 (555) 335-5295,jeffrey.perez@mac.com,yes,no,yes,yes
William King,YNG San Francisco,94118,williamking,NP,+1 (555) 556-2131,william.king@hebert.com,no,NP,no,yes
Sharon Fisher,YNG Utah,84114,sharonfisher,sharonfisher,+1 (555) 114-0543,sharon.fisher@aol.com,yes,no,yes,yes
Catherine Horne,YNG Los Angeles,90014,NP,catherinehorne,NP,catherine.horne@stanford.edu,NP,no,NP,yes
Stacey Pierce,YNG Seattle,98114,staceypierce,staceypierce,NP,stacey.pierce@aol.com,yes,no,NP,yes
Brandy Freeman,YNG Seattle,98101,brandyfreeman,NP,NP,brandy.freeman@outlook.com,yes,NP,NP,no
Edward Jackson,YNG San Diego,92106,edwardjackson,edwardjackson,NP,edward.jackson@mac.com,yes,no,NP,no
Mark Dominguez,YNG Utah,84102,NP,markdominguez,+1 (555) 742-0310,mark.dominguez@gmail.com,NP,no,no,yes
David Odonnell,YNG San Francisco,94115,davidodonnell,NP,+1 (555) 752-2070,david.odonnell@ucla.edu,no,NP,yes,no
Colton Cook,YNG LA Universities,90025,coltoncook,coltoncook,+1 (555) 019-3946,colton.cook@icloud.com,yes,no,no,yes
Kevin Johnson,YNG San Diego,92101,kevinjohnson,kevinjohnson,+1 (555) 622-5428,kevin.johnson@gmail.com,no,no,yes,no
William Parsons,YNG Utah,84104,williamparsons,williamparsons,NP,william.parsons@ucla.edu,no,no,NP,yes
Beth Stewart,YNG San Francisco,94109,bethstewart,bethstewart,+1 (555) 659-6367,beth.stewart@stanford.edu,no,no,no,no
Danielle Carroll,YNG San Diego,92104,daniellecarroll,NP,NP,danielle.carroll@outlook.com,no,NP,NP,no
Dr. Kaitlyn Anderson,YNG Las Vegas,89103,NP,NP,+1 (555) 236-3393,dr..kaitlyn.anderson@mac.com,NP,NP,yes,yes
Kathryn Marshall,YNG Los Angeles,90009,kathrynmarshall,NP,NP,kathryn.marshall@outlook.com,no,NP,NP,yes
David Fuller,YNG LA Universities,90089,davidfuller,davidfuller,+1 (555) 114-1067,david.fuller@ucla.edu,yes,yes,no,yes
Bonnie Jones,YNG San Diego,92117,bonniejones,NP,+1 (555) 201-2272,bonnie.jones@outlook.com,yes,NP,yes,no
Sandra Snyder,YNG San Diego,92107,sandrasnyder,sandrasnyder,NP,sandra.snyder@ucla.edu,yes,yes,NP,no
Mark Edwards,YNG LA Universities,90038,NP,markedwards,NP,mark.edwards@mosley-shepherd.com,NP,no,NP,yes
Ann Patterson,YNG San Diego,92111,annpatterson,annpatterson,+1 (555) 720-5612,ann.patterson@icloud.com,yes,yes,yes,yes
Benjamin Young,YNG Seattle,98114,benjaminyoung,benjaminyoung,+1 (555) 477-0860,benjamin.young@outlook.com,no,yes,no,yes
Bobby Howard,YNG Las Vegas,89116,bobbyhoward,bobbyhoward,+1 (555) 623-6838,bobby.howard@mac.com,yes,no,no,yes
Michael Bell,YNG Seattle,98107,NP,michaelbell,+1 (555) 521-2235,michael.bell@aol.com,NP,yes,yes,no
Lauren Smith,YNG Utah,84112,laurensmith,laurensmith,+1 (555) 578-6442,lauren.smith@icloud.com,yes,no,yes,yes
Jessica Holloway,YNG Seattle,98115,jessicaholloway,jessicaholloway,+1 (555) 525-6342,jessica.holloway@ucla.edu,yes,yes,yes,yes
Charles Thomas,YNG Seattle,98112,charlesthomas,NP,NP,charles.thomas@ucla.edu,no,NP,NP,no
Jeffrey Lee,YNG Los Angeles,90005,jeffreylee,NP,+1 (555) 549-9793,jeffrey.lee@gmail.com,yes,NP,no,yes
Peter Schmidt,YNG San Diego,92103,peterschmidt,peterschmidt,+1 (555) 455-4694,peter.schmidt@mac.com,yes,yes,yes,no
Courtney Henderson,YNG San Diego,92108,courtneyhenderson,courtneyhenderson,+1 (555) 646-6976,courtney.henderson@ucla.edu,no,no,yes,yes
Nicholas Lloyd,YNG Los Angeles,90002,nicholaslloyd,nicholaslloyd,+1 (555) 915-1787,nicholas.lloyd@stanford.edu,yes,no,yes,no
Tyler Andrade,YNG Las Vegas,89102,tylerandrade,NP,+1 (555) 445-3148,tyler.andrade@mac.com,no,NP,no,no
Kelly Maddox,YNG San Diego,92103,kellymaddox,kellymaddox,+1 (555) 327-2824,kelly.maddox@stanford.edu,yes,no,no,no
Shannon Taylor,YNG Seattle,98109,shannontaylor,shannontaylor,NP,shannon.taylor@outlook.com,yes,no,NP,yes
Toni Mullins,YNG Los Angeles,90012,tonimullins,tonimullins,NP,toni.mullins@stanford.edu,yes,no,NP,no
Jason Horn,YNG San Diego,92117,jasonhorn,jasonhorn,+1 (555) 380-8310,jason.horn@gmail.com,no,no,yes,yes
Nicole Sutton,YNG Los Angeles,90001,nicolesutton,nicolesutton,NP,nicole.sutton@aol.com,yes,yes,NP,no
Kent Eaton,YNG Los Angeles,90005,kenteaton,NP,+1 (555) 740-1330,kent.eaton@outlook.com,yes,NP,yes,yes
Brendan Greer,YNG San Francisco,94117,NP,brendangreer,NP,brendan.greer@stanford.edu,NP,yes,NP,no
Michael Manning,YNG Utah,84114,michaelmanning,michaelmanning,+1 (555) 187-0397,michael.manning@company.com,yes,yes,no,yes
Olivia Harris,YNG Seattle,98104,oliviaharris,oliviaharris,+1 (555) 727-0739,olivia.harris@yahoo.com,no,no,yes,no
Michael Sanchez,YNG Utah,84102,michaelsanchez,michaelsanchez,+1 (555) 255-5759,michael.sanchez@icloud.com,no,yes,yes,no
Dustin Lopez MD,YNG San Francisco,94118,dustinlopezmd,dustinlopezmd,+1 (555) 495-4471,dustin.lopez.md@branch.com,yes,no,no,yes
Elizabeth Hall,YNG LA Universities,90089,elizabethhall,elizabethhall,+1 (555) 475-6451,elizabeth.hall@mac.com,yes,no,yes,yes
Luis Gonzalez,YNG Utah,84104,luisgonzalez,NP,+1 (555) 031-4237,luis.gonzalez@company.com,no,NP,yes,yes
Tara Navarro,YNG Los Angeles,90005,taranavarro,taranavarro,+1 (555) 508-9268,tara.navarro@stanford.edu,yes,no,no,no
Phillip Bates,YNG Las Vegas,89110,phillipbates,phillipbates,NP,phillip.bates@company.com,no,no,NP,yes
Austin Perry,YNG Utah,84102,austinperry,NP,+1 (555) 027-3308,austin.perry@mac.com,yes,NP,yes,no
Anna Greene,YNG Utah,84101,annagreene,annagreene,+1 (555) 272-8422,anna.greene@aol.com,no,no,yes,yes
Dana Sanders,YNG Las Vegas,89116,danasanders,NP,+1 (555) 957-6823,dana.sanders@icloud.com,no,NP,no,yes
Mary Hanna,YNG LA Universities,90028,maryhanna,maryhanna,+1 (555) 839-7006,mary.hanna@aol.com,yes,yes,no,yes
James Perry,YNG Utah,84115,jamesperry,jamesperry,NP,james.perry@mac.com,yes,yes,NP,yes
Deborah Fowler,YNG LA Universities,90089,NP,deborahfowler,NP,deborah.fowler@company.com,NP,yes,NP,yes
Mr. Paul Rodriguez,YNG Las Vegas,89106,mr.paulrodriguez,mr.paulrodriguez,+1 (555) 379-7364,mr..paul.rodriguez@yahoo.com,no,yes,no,no
David Olsen,YNG LA Universities,90034,NP,davidolsen,+1 (555) 891-4592,david.olsen@spencer.com,NP,no,no,yes
Lindsey Martinez,YNG Los Angeles,90004,lindseymartinez,lindseymartinez,NP,lindsey.martinez@outlook.com,no,yes,NP,yes
Amanda Harris,YNG Seattle,98107,amandaharris,amandaharris,+1 (555) 369-6505,amanda.harris@patterson-price.com,no,yes,yes,yes
Michael Elliott,YNG San Diego,92106,michaelelliott,michaelelliott,+1 (555) 827-3744,michael.elliott@fletcher.com,no,no,no,yes
Barry Robertson,YNG Las Vegas,89115,barryrobertson,barryrobertson,NP,barry.robertson@outlook.com,yes,no,NP,yes
Kent Lutz,YNG San Francisco,94103,kentlutz,kentlutz,NP,kent.lutz@icloud.com,yes,yes,NP,no
Barbara Lopez,YNG Los Angeles,90003,barbaralopez,NP,+1 (555) 302-7210,barbara.lopez@stanford.edu,yes,NP,yes,yes
Melissa Hernandez,YNG LA Universities,90034,melissahernandez,melissahernandez,NP,melissa.hernandez@yahoo.com,no,yes,NP,yes
Geoffrey Rodgers,YNG San Francisco,94104,geoffreyrodgers,geoffreyrodgers,+1 (555) 886-1154,geoffrey.rodgers@outlook.com,no,yes,no,yes
Kathryn Buckley,YNG San Diego,92109,kathrynbuckley,NP,+1 (555) 057-0804,kathryn.buckley@outlook.com,no,NP,yes,no
Allen Ross,YNG San Francisco,94105,allenross,allenross,+1 (555) 034-8803,allen.ross@company.com,yes,no,no,no
Greg Spencer,YNG Utah,84116,NP,gregspencer,+1 (555) 358-5491,greg.spencer@watson.biz,NP,yes,no,no
Patrick Hart,YNG San Diego,92113,patrickhart,patrickhart,+1 (555) 419-9416,patrick.hart@ucla.edu,no,no,yes,yes
Casey Martin,YNG Seattle,98107,caseymartin,NP,+1 (555) 262-9425,casey.martin@stanford.edu,no,NP,yes,yes
Steven Allen,YNG Las Vegas,89110,stevenallen,stevenallen,+1 (555) 163-7196,steven.allen@yahoo.com,no,yes,yes,no
Thomas King,YNG Utah,84104,thomasking,thomasking,+1 (555) 275-0677,thomas.king@company.com,no,no,no,yes
Sean Ruiz,YNG San Diego,92109,seanruiz,NP,+1 (555) 485-7487,sean.ruiz@ucla.edu,yes,NP,yes,no
Lauren Lopez,YNG San Diego,92117,laurenlopez,laurenlopez,NP,lauren.lopez@company.com,no,yes,NP,yes
William Carpenter,YNG LA Universities,90041,williamcarpenter,williamcarpenter,+1 (555) 362-2249,william.carpenter@company.com,yes,yes,no,yes
Brandon Roberts,YNG San Francisco,94110,brandonroberts,brandonroberts,NP,brandon.roberts@ucla.edu,yes,yes,NP,yes
Troy Nelson,YNG Las Vegas,89113,troynelson,troynelson,NP,troy.nelson@boyd.com,no,yes,NP,no
Mackenzie Fox,YNG San Francisco,94111,mackenziefox,NP,NP,mackenzie.fox@mac.com,yes,NP,NP,yes
Katelyn Walls,YNG Utah,84114,katelynwalls,NP,+1 (555) 848-7546,katelyn.walls@stanford.edu,no,NP,no,no
Andrea Livingston,YNG Utah,84108,andrealivingston,andrealivingston,+1 (555) 426-2834,andrea.livingston@freeman.com,no,no,yes,yes
Erica Hernandez,YNG San Francisco,94112,ericahernandez,ericahernandez,+1 (555) 818-7859,erica.hernandez@mac.com,no,no,no,yes
Stephanie Coffey,YNG San Diego,92103,stephaniecoffey,stephaniecoffey,+1 (555) 676-7803,stephanie.coffey@company.com,no,no,no,yes
Kurt Love,YNG Las Vegas,89107,kurtlove,kurtlove,+1 (555) 447-7075,kurt.love@mac.com,no,no,no,yes
Miranda Lopez,YNG LA Universities,90043,mirandalopez,mirandalopez,NP,miranda.lopez@ucla.edu,no,yes,NP,yes
Kimberly Salazar MD,YNG Las Vegas,89115,kimberlysalazarmd,kimberlysalazarmd,NP,kimberly.salazar.md@company.com,yes,yes,NP,no
Samantha Hernandez,YNG Los Angeles,90011,samanthahernandez,samanthahernandez,NP,samantha.hernandez@outlook.com,yes,no,NP,no
Frank Hamilton,YNG LA Universities,90042,frankhamilton,NP,+1 (555) 692-0691,frank.hamilton@ucla.edu,no,NP,yes,yes
Danny Johnson,YNG Seattle,98106,dannyjohnson,dannyjohnson,NP,danny.johnson@company.com,no,no,NP,yes
Ann Johnson,YNG LA Universities,90024,annjohnson,NP,+1 (555) 925-4050,ann.johnson@yahoo.com,yes,NP,yes,yes
Lindsay Little,YNG Las Vegas,89116,lindsaylittle,lindsaylittle,+1 (555) 609-6878,lindsay.little@gmail.com,yes,yes,yes,no
James Santiago,YNG San Francisco,94105,jamessantiago,jamessantiago,NP,james.santiago@stanford.edu,no,no,NP,yes
Brandon Molina,YNG Utah,84106,brandonmolina,brandonmolina,+1 (555) 838-7352,brandon.molina@aol.com,yes,no,yes,yes
Tamara Duncan,YNG LA Universities,90043,tamaraduncan,NP,+1 (555) 291-0717,tamara.duncan@fuentes.com,no,NP,yes,no
Christopher Hayes,YNG Las Vegas,89103,NP,christopherhayes,+1 (555) 714-4418,christopher.hayes@yahoo.com,NP,yes,no,no
Jordan Lindsey,YNG Los Angeles,90012,NP,jordanlindsey,+1 (555) 697-4790,jordan.lindsey@ucla.edu,NP,no,no,yes
Adam Rodriguez,YNG Los Angeles,90013,NP,adamrodriguez,+1 (555) 142-8025,adam.rodriguez@stanford.edu,NP,yes,yes,yes
Sue Flynn,YNG San Francisco,94121,sueflynn,NP,+1 (555) 068-0153,sue.flynn@stanford.edu,no,NP,no,yes
Eric Hill,YNG San Diego,92115,erichill,erichill,+1 (555) 063-4692,eric.hill@mac.com,no,yes,yes,no
Katie Martinez,YNG Utah,84113,katiemartinez,katiemartinez,+1 (555) 720-9797,katie.martinez@yahoo.com,yes,no,no,yes
Suzanne Schmidt,YNG LA Universities,90028,suzanneschmidt,suzanneschmidt,+1 (555) 366-7171,suzanne.schmidt@outlook.com,no,no,no,yes
Christopher Shah,YNG San Diego,92105,christophershah,christophershah,+1 (555) 753-7854,christopher.shah@mac.com,no,yes,no,yes
Crystal Henson,YNG Los Angeles,90007,NP,crystalhenson,+1 (555) 787-7432,crystal.henson@rhodes.info,NP,yes,no,no
Aaron Stewart,YNG San Francisco,94121,NP,aaronstewart,+1 (555) 633-9455,aaron.stewart@outlook.com,NP,yes,yes,no
Alexis Hall,YNG Seattle,98116,alexishall,alexishall,+1 (555) 751-0444,alexis.hall@yahoo.com,yes,yes,yes,yes
David James,YNG LA Universities,90089,NP,davidjames,+1 (555) 273-4532,david.james@stanford.edu,NP,yes,yes,yes
Jamie Holmes,YNG San Diego,92114,jamieholmes,jamieholmes,+1 (555) 281-9331,jamie.holmes@yahoo.com,no,yes,yes,no
Bianca Smith,YNG San Diego,92116,biancasmith,biancasmith,+1 (555) 844-4748,bianca.smith@company.com,yes,no,yes,yes
Mary Bell,YNG Utah,84111,marybell,marybell,+1 (555) 778-8853,mary.bell@stanford.edu,yes,no,yes,yes
Ronald Simmons,YNG Las Vegas,89102,ronaldsimmons,NP,+1 (555) 291-6306,ronald.simmons@icloud.com,no,NP,no,yes
Kyle Davis,YNG San Diego,92107,kyledavis,NP,NP,kyle.davis@gmail.com,yes,NP,NP,yes
Nicole Johnson,YNG LA Universities,90027,nicolejohnson,nicolejohnson,+1 (555) 670-4335,nicole.johnson@aol.com,no,yes,no,yes
Hunter Francis,YNG Las Vegas,89104,hunterfrancis,hunterfrancis,NP,hunter.francis@outlook.com,no,yes,NP,yes
Kenneth Perry,YNG Utah,84109,kennethperry,NP,+1 (555) 176-4601,kenneth.perry@stanford.edu,no,NP,no,no
Bryan Velasquez,YNG Las Vegas,89105,bryanvelasquez,bryanvelasquez,+1 (555) 434-6546,bryan.velasquez@gmail.com,no,yes,yes,yes
Amy Long,YNG Los Angeles,90013,amylong,amylong,+1 (555) 468-2144,amy.long@gmail.com,no,yes,no,no
Anna Fuentes,YNG Seattle,98114,annafuentes,annafuentes,+1 (555) 227-3207,anna.fuentes@gmail.com,yes,yes,no,yes
Anthony Frost,YNG San Diego,92104,anthonyfrost,NP,+1 (555) 272-3580,anthony.frost@company.com,yes,NP,yes,yes
Miranda Reilly,YNG San Diego,92101,mirandareilly,mirandareilly,NP,miranda.reilly@mcmahon.com,yes,no,NP,yes
Brenda Norris,YNG San Diego,92106,brendanorris,brendanorris,NP,brenda.norris@outlook.com,yes,no,NP,yes
Beth Herrera,YNG LA Universities,90024,bethherrera,bethherrera,+1 (555) 363-6145,beth.herrera@icloud.com,yes,yes,no,no
Paige Johns,YNG Utah,84104,paigejohns,NP,+1 (555) 958-8393,paige.johns@yahoo.com,no,NP,no,yes
Joseph Lambert,YNG Seattle,98103,josephlambert,josephlambert,+1 (555) 185-8521,joseph.lambert@aol.com,no,no,no,no
Sarah George,YNG San Francisco,94111,sarahgeorge,sarahgeorge,+1 (555) 439-9285,sarah.george@yahoo.com,no,no,no,yes
Peggy Walker,YNG Los Angeles,90012,peggywalker,peggywalker,+1 (555) 549-2979,peggy.walker@gmail.com,no,yes,yes,no
William Lin,YNG San Francisco,94121,williamlin,williamlin,+1 (555) 932-3241,william.lin@icloud.com,no,no,yes,yes
Crystal Adams,YNG Utah,84109,NP,NP,NP,crystal.adams@gmail.com,NP,NP,NP,yes
Luis Curry,YNG Utah,84101,luiscurry,NP,NP,luis.curry@aol.com,no,NP,NP,yes
Brittany Crawford,YNG Utah,84116,brittanycrawford,brittanycrawford,+1 (555) 729-2652,brittany.crawford@aol.com,yes,no,no,yes
Lawrence Clark,YNG San Diego,92110,lawrenceclark,lawrenceclark,+1 (555) 473-0618,lawrence.clark@icloud.com,no,no,yes,yes
Tommy Houston,YNG Las Vegas,89115,tommyhouston,tommyhouston,+1 (555) 598-4994,tommy.houston@yahoo.com,yes,yes,yes,no
Wesley Clark,YNG San Francisco,94112,wesleyclark,wesleyclark,+1 (555) 316-8066,wesley.clark@company.com,yes,no,yes,no
Pamela Bautista,YNG LA Universities,90028,NP,pamelabautista,+1 (555) 205-1943,pamela.bautista@company.com,NP,no,yes,no
Justin Clarke,YNG San Francisco,94121,NP,justinclarke,+1 (555) 662-2736,justin.clarke@outlook.com,NP,no,yes,no
Jason Glover,YNG Las Vegas,89104,jasonglover,jasonglover,NP,jason.glover@outlook.com,no,no,NP,yes
Jasmine Johnson,YNG Seattle,98112,jasminejohnson,jasminejohnson,+1 (555) 839-8991,jasmine.johnson@gmail.com,yes,no,yes,yes
Tammy Gonzales,YNG LA Universities,90025,NP,NP,+1 (555) 351-6727,tammy.gonzales@outlook.com,NP,NP,no,no
James James,YNG Los Angeles,90016,NP,jamesjames,NP,james.james@williams.com,NP,yes,NP,yes
